Date,sma_10,sma_20,sma_60,ema_10,ema_20,ema_60,연도,분기,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,label
2021-08-09,1.0064655172413792,1.0209051724137932,1.0564655172413793,1.01486060811401,1.022416135294667,1.0543588292201056,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.10344827586206895
2021-08-10,1.0346666666666666,1.048,1.0885925925925926,1.037991494845274,1.0490603861119348,1.08430336279525,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.07111111111111112
2021-08-11,1.095260663507109,1.1090047393364928,1.1583728278041074,1.087433337812012,1.1073647372215123,1.151124787592801,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.018957345971563955
2021-08-12,1.136318407960199,1.1527363184079602,1.2123548922056384,1.1158009536431526,1.1469853663873593,1.2015620651449943,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.00497512437810943
2021-08-13,1.1142857142857143,1.131527093596059,1.19696223316913,1.0857518697449455,1.1227626352881364,1.183503555725954,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,0.014778325123152802
2021-08-17,1.1,1.1229064039408867,1.1940065681444991,1.07016062070041,1.1110709557368852,1.1774870457021525,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.014778325123152691
2021-08-18,1.0581730769230768,1.0889423076923077,1.1622596153846154,1.0363564047288676,1.076327993653197,1.1442908532766929,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.05865384615384617
2021-08-19,1.055609756097561,1.0978048780487806,1.1759349593495934,1.042154851287113,1.0833096935929003,1.1557566854387504,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.05853658536585371
2021-08-20,1.0385365853658537,1.0895121951219513,1.1721951219512194,1.0344903328712742,1.075375437060243,1.150649908866988,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.0663414634146341
2021-08-23,1.0189320388349514,1.0766990291262135,1.1629449838187702,1.0241106196590914,1.0634737233817952,1.1403080254453464,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.08737864077669899
2021-08-24,0.9890476190476192,1.0504761904761906,1.1373015873015873,1.003766705128985,1.0391011685524594,1.1146997456098937,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.12857142857142856
2021-08-25,0.9946859903381644,1.0596618357487924,1.1497584541062802,1.0149842216485647,1.0490024528466328,1.1265644926036733,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.11111111111111116
2021-08-26,0.9884615384615384,1.0497596153846154,1.140705128205128,1.0082673098475856,1.0397725840306336,1.1171762411860546,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.09807692307692306
2021-08-27,0.996135265700483,1.04975845410628,1.142109500805153,1.0107494088865527,1.040529388564312,1.1185544335024362,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.049275362318840554
2021-08-30,0.9980676328502416,1.0454106280193236,1.1380837359098228,1.0087949709071795,1.0366694467962825,1.114667402895799,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.061835748792270495
2021-08-31,0.9746478873239436,1.0115023474178404,1.1025821596244132,0.9839458091336216,1.006756300972452,1.080538212234772,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.0826291079812207
2021-09-01,0.9648148148148148,0.991898148148148,1.0842592592592593,0.97568355055099,0.9934618055633848,1.0633821883086203,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.09351851851851856
2021-09-02,0.9821596244131456,0.9990610328638496,1.0970266040688574,0.9913481955916024,1.0067442991352853,1.075790241499658,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.09577464788732393
2021-09-03,0.9817757009345794,0.9883177570093458,1.0894080996884736,0.9891310496810118,1.0018456116155985,1.0684430798932285,2021,Q3,0.0773546036117285,0.0708261137967953,0.1572193541524664,0.0396463394324757,0.0891094289629803,0.0723719286059199,0.0643839918619992,0.1528630350495898,0.5620058968407649,0.7589363921230239,0.7420772652410161,0.7420772652410161,0.0,0.2217025017795559,-0.07943925233644855
